Id;Fransizca;Ingilizce;Turkce;Tur;Okunus;Sa
4306;incomprehensible;incomprehensible;anlaþýlmaz, muðlak;adj.;eñkoñpreañsibl;1111
4307;incompréhensif (-ve);unsympathetic;anlayýþsýz;adj.;eñkoñpreansif /-iv;1111
4308;incompréhension;lack of understanding;anlayýþsýzlýk;f.;eñkoñpreansiyoñ;1111
4309;inconfortable;unconfortable;rahatsýz;adj.;eñkonfortabl;-1
4310;inconnu (-e);unknown (person);bilinmeyen, meçhul, tanýnmamýþ;adj.;eñkonü;-1
4311;inconsciemment;unconsciously;bilinçsizce;adv.;eñkoñsiyamañ;1112
4312;inconscience;unconsciousness;bilinçsizlik;f.;enkoñsiyans;1112
4313;inconscient (-e);unconscious;bilinçsiz;adj.;enkoñsiyañ/-yant ;1112
4314;inconvenant (-e);indecent;uygunsuz;adj.;eñkoñvönañ/-ant;1113
4315;inconvénient (-e);inconvenience;mahzur;adj.;eñkoñveniyañ/-ant;1113
4316;incorrect (-e);wrong;yanlýþ  ;adj.;eñkorekt;-1
4317;incroyable;incredible;inanýlmaz;adj.;eñkruayabl;-1
4318;incubateur ;incubator;küvöz;m.;eñkübatör;-1
4319;inculte;uncultivated;kültürsüz,kýraç,ekilmemiþ(toprak);adj.;eñkült;-1
4320;l'Ýnde ;India;Hindistan;f.;end;1114
4321;indéfini (-e);indefinite;belirsiz;adj.;eñdefini;-1
4322;indemnisation;indemnification;zararý ödeme;f.;eñdamnizasyoñ;-1
4323;indemnité;indemnity;ödenek, tazminat;f.;eñdamnite;-1
4324;indépendance;independence;egemenlik, istiklâl, baðýmsýzlýk;f.;eñdepañdans;1115
4325;indépendant (-e);independent;egemen, baðýmsýz;adj.;eñdepañdañ /-ant;1115
4326;index;summary, contents;fihrist;m.;eñdeks, somer;1116
4327;index;index;dizin;m.;eñdeks;1116
4328;index;forefinger;iþaret parmaðý;m.;eñdeks;1116
4329;indicateur;indicator;gösterge;m.;eñdikatör;1117
4330;indicatif;area code;alan kodu;m.;eñdikatif;1117
4331;indication;indication;tarif;f.;eñdikasyoñ;1117
4332;indice;clue, sign;ipucu;m.;eñdis;117
4333;Ýndien (-ne);an Indian;Hint, Kýzýlderili;m.f.;eñdiyeñ/eñdiyen;1114
4334;indifférence;indifference;ilgisizlik;f.;eñdiferans;91117
4335;indifférent (-e);indifferent;ilgisiz;adj.;eñdiferañ /-ant;91117
4336;indigène;indigène, autocthone;yerli (kiþi);adj.;eñdijeñ;-1
4337;indigner;tomake indignant;kýzdýrmak;v.;eñdinye;-1
4338;indiquer;toindicate, to show;iþaret etmek;v.;eñdike;-1
4339;indirect;indirect;dolaylý;adj.;eñdirekt;1118
4340;indirectement;indirectly;dolaylý olarak;adv.;eñdirekt(ö)mañ;1118
4341;indiscipliné (-e);undisciplined;disiplinsiz;adj.;eñdisipline;-1
4342;indispensable;indespensable;kaçýnýlmaz;adj.;eñdispañsabl;-1
4343;indisponible;unavailable;uygun, müsait olmayan;adj.;eñdisponibl;-1
4344;indisturie;industry;sanayi;f.;eñdüstri;-1
4345;individu;individual;birey, fert, þahýs;m.;eñdividü;1119
4346;individuel (-le);individual, personal;bireysel, münferit, ferdî, þahsî;adj.;eñdividüel;1119
4347;individuellement;individually;bireysel, münferit, ferdî, þahsî;adv.;eñdividüelmañ;1119
4348;induction;induction;tümevarým;f.;eñdüksiyoñ;1120
4349;induire;toinduce;sonuç çýkarmak;v.;eñdüir;1120
4350;industrie;industry;endüstri;f.;eñdüstri;1121
4351;industriel (-le);industrial;sýnaî;adj.;eñdüstriyel;1121
4352;inédit (-e);unpublished;yayýnlanmamýþ;adj.;inedi / inedit;-1
4353;inégalité;inequality;eþitsizlik;f.;inegalite;-1
4354;inévitable;inevitable;kaçýnýlmaz;adj.;inevitabl;-1
4355;inéxact (-e);inexact;yanlýþ  ;adj.;inegzakt;-1
4356;inéxactitude;inextitude;yanlýþlýk;f.;inegzaktitüd;-1
4357;inexistant (-e);non-existent;varolmayan;adj.;inegzistañ /-ant;-1
4358;inexpérimenté (-e);inexperienced;acemi, tecrübesiz, toy;adj.;ineksperimante;-1
4359;infantile;infantile;çocuksu;adj.;eñfañtil;-1
4360;infarctus;infarction;enfarktüs;m.;eñfarktüs;-1
4361;infécond (-e);infertile;kýsýr;adj.;eñfekoñ /-ond;-1
4362;infection;infection;enfeksiyon;f.;eñfeksiyon;1122
4363;infectueux (-euse);contagious;bulaþýcý;adj.;eñfektüö/-öz;1122
4364;inférieur;inferior, bottom;alt;m.;eñferiyör;1123
4365;inférieur (-e);inferior;düþük (altýnda);adj.;eñferiyör;1123
4366;infériorité;inferiority;düþüklük (azlýk);f.;eñferiyorite;1123
4367;infidèle;unbeliever;gâvur;m.f.;eñfidel;-1
4368;infini (-e);endless;sonsuz;adj.;eñfini;-1
4369;infinitif;infinitive;mastar;m.;eñfinitif;-1
4370;infirme;disabled, crippled;sakat;m.f.;eñfirm;1124
4371;infirmier (-ère);nurse;hemþire, hasta bakýcý;m.f.;eñfirmiye/-yer;-1
4372;infirmité;disability;sakatlýk;f.;eñfirmite;1124
4373;inflammable;inflammable;yanýcý;adj.;eñflamabl;1125
4374;inflammation;inflammation;iltihap, yangý;f.;eñflamasyoñ;1125
4375;inflation;inflation;enflasyon;f.;eñflasyon;-1
4376;influence;influence;etki, tesir;f.;eñflüans;1126
4377;influencer;toinfluence;etkilemek;v.;eñflüanse;1126
4378;influent (-e);influential;tesirli, etkili;adj.;eñflüañ /-ant;1126
4379;informaticien (-ne);computer scientist;bilgisayar mühendisi;m.f.;eñformatisyeñ/-yen;1127
4380;information;information;danýþma, bilgi;f.;eñformasyon;1127
4381;informatique;computer science, informatics;bilgisayar bilimi/alaný;f.;eñformatik;1127
4382;informer;toinform;bilgilendirmek, bilgi vermek;v.;eñforme;1127
4383;s'informer ;inquire;bilgi edinmek;v.;s'eñforme;1127
4384;infrastructure;infrastructure;alt yapý;f.;eñfrastrüktür;-1
4385;infuser;toinfuse;demlemek;v.;eñfüze;-1
4386;ingénieur;engineer;mühendis;m.;eñjeniyör;-1
4387;ingrat (-e);ungrateful;nankör;adj.;eñgra;-1
4388;inhabité (-e);uninhabited;ücra;adj.;inabite;-1
4389;initial (-e);initial;ilk harf;adj.;inisiyal;-1
4390;initiative;initiative;giriþim, insiyatif;f.;inisiyativ;-1
4391;injecter;toinject;zerk etmek, iðne yapmak;v.;eñjekte;1128
4392;injecteur;injector;iðne, þýrýnga, enjektör;m.;eñjektör;1128
4393;injection;injection;iðne yapma, zerk etme;f.;eñjeksiyoñ;1128
4394;injure;insult;küfür, hakaret;f.;eñjür;1129
4395;injurier;toinsult;küfretmek, hakaret etmek;v.;eñjürye;1129
4396;injuste;unjust;haksýz;adj.;eñjüst;-1
4397;innocent (-e);innocent;masum;adj.;inosañ/inosant;-1
4398;inondation;torrent;sel;f.;inondasyon;-1
4399;inoubliable;unforgettable;unutulmaz;adj.;inubliyâbl;-1
4400;inoxydable;unoxidizable;paslanmaz;adj.;inoksidable;-1
4401;inquiet (-ète);worried;endiþeli;adj.;eñkiye/eñkiyet;-1
4402;inquiétant;worrying;endiþe verici;adj.;eñkiyetañ /-ant;1130
4403;inquiéter;toworry;endiþenedirmek;v.;eñkiyete;1130
4404;s'inquiéter ;toworry;endiþelenmek;v.;s'eñkiyete;1130
4405;inquiétude;worry;endiþe;f.;eñkiyetüd;1130
4406;inquisition;inquisition;engizisyon;f.;eñkizisyoñ;-1
4407;inscription;inscription;kayýt, kaydolma;f.;enskripsiyoñ;1131
4408;inscrire;toinscribe;kaydetmek;v.;eñskrir;1131
4409;s'inscrire ;toregister,put down,inscribe;kaydolmak;v.;eñskrir/s'eñskrir;1131
4410;insecte;insect;böcek;m.;eñsekt;1132
4411;insectes;insect;haþarat;m.;eñsekt;1132
4412;insensible;insensitive;hissiz;adj.;eñsansibl;-1
4413;insistance;insistence, persistence;ýsrar;f.;eñsistans;1133
4414;insister;toinsist;üstelemek, ýsrar etmek;v.;eñsiste;1133
4415;insolation;sunstroke;güneþ çarpmasý;f.;eñsolasyon;-1
4416;insolent (-e);insolent;küstah;adj.;eñsolañ/-ant;-1
4417;insomniaque;insomniac;uykusuz;adj.;eñsomniyak;-1
4418;insouciant (-e);carefree;gamsýz, tasasýz;adj.;eñsusiyañ/-ant;-1
4419;inspecter;toinspect;denetlemek, teftiþ etmek;v.;enspekte;1134
4420;inspecteur;inspector;müfettiþ;m.;enspektör;1134
4421;inspection;inspection;denetim;f.;enspeksiyoñ;1134
4422;inspiration;inspiration;ilham, vahiy;f.;enspirasyoñ;1135
4423;inspirer;to inspire;ilham vermek;v.;enspire;1135
4424;s'inspirer;to take inspiration;ilham almak;v.;s'enspire;1135
4425;instabilité;instability;deðiþkenlik;f.;eñstabilite;1136
4426;instable;unstable;deðiþken;adj.;eñstabl;1136
4427;installation;installation;döþeme, tesisat;f.;enstalasyon;1137
4428;installer;toinstall, to equip, to set up;yerleþtirmek, döþemek;v.;enstâle;1137
4429;s'installer;tosettle in;yerleþmek;v.;s'enstâle;1137
4430;instant;instant;an;m.;enstañ;1138
4431;instantané (-e);snapshot;anlýk (fotoðraf);adj.;enstantane;1138
4432;instaurer;toinstaure;kurmak (bilgisayar);v.;enstore;-1
4433;instinct;instinct;içgüdü;m.;enstenkt;-1
4434;institut;institute;enstitü;m.;enstitü;1139
4435;instituteur (-trice);schoolteacher (primary school);ilkokul öðretmeni;m.f.;enstitütör;1139
4436;instructeur (-trice);instructor;eðitimci;m.f.;enstrüktör / -tris;1139
4437;instruction;instruction;eðitim, terbiye, talimat;f.;enstrüksiyoñ;1139
4438;instruire;toinstruct;eðitmek;v.;enstrüir;1139
4439;instruit (-e);well-read;okur-yazar;adj.;enstrüi /-it;1139
4440;instruit (-e);educated;tahsilli, terbiyeli;adj.;enstrüi /-it;1139
4441;instrument;instrument;çalgý, enstrüman;m.;enstrümañ;1140
4442;instrument;instrument;alet;m.;enstrümañ;1140
4443;insuffisamment;insufficiency;yetersiz bir biçimde;adv.;eñsüfizamañ;1141
4444;insuffisance;insufficiency;yetersizlik;f.;eñsüfizañs;1141
4445;insuffisant (-e);insufficient;yetersiz, noksan;adj.;eñsüfizañ / -ant;1141
4446;insulte;insult;hakaret;f.;eñsült;1142
4447;insulter;toinsult;hakaret etmek;v.;eñsülte;1142
4448;insupportable;unbearable;çekilmez;adj.;eñsüportabl;2184
4449;intégrer;to integrate;bütünleþtirmek;v.;eñtegre;715
4450;s'intégrer;to join;bütünleþmek;v.;s'eñtegre;715
4451;intellectuel (-le);intellectual;aydýn, entellektüel;m.f.;eñtelektüel;1143
4452;intellectuel (-le);intellectual;zihinsel;adj.;eñtelektüel;1143
4453;intelligemment;intelligently;zekî bir biçimde, akýllýca;adv.;eñtelijamañ;1144
4454;intelligence;intelligence;akýllýlýk, zeka;f.;eñtelijans;1144
4455;intelligent (-e);"intelligent; smart, clever";akýllý, zeki;adj.;eñtelijañ/-ant;1144
4456;intendant (-e);intendant;kâhya;adj.;eñtañdañ /-ant;-1
4457;intense;intense;yoðun;adj.;eñtans;1145
4458;intensif (-ve);intensif;yoðun;adj.;eñtansif/-iv;1145
4459;intensité;intensity;yoðunluk;f.;eñtañsivmañ;1145
4460;intensivement;intensively;yoðun bir biçimde;adv.;eñtansivmañ;1145
4461;intention;intention;niyet;f.;eñtansiyon;1146
4462;avoir l'intention de...;tomean, to intend;niyetlenmek, niyeti olmak;v.;avuar l'entañsiyoñ dö;1146
4463;interaction;interaction;etkileþim;f.;eñteraksiyon;-1
4464;interdiction;prohibition;yasak;f.;eñterdiksiyon;1147
4465;interdire;toforbid;yasaklamak;v.;eñterdir;1147
4466;interdit(-e);forbidden;yasaklanmýþ, yasak olan;adj.;eñterdi/-it;1147
4467;interéssant (-e);interesting;ilginç;adj.;eñteresañ/-ant;1148
4468;interésser;tointerest;ilgilendirmek;v.;eñterese;1148
4469;s'interésser ;tobe interested in;ilgilenmek;v.;s'eñterese;1148
4470;intérêt;interest;yarar, fayda;m.;eñtere;1149
4471;intérêt;interest;faiz;m.;eñtere;1149
4472;intérêt;interest;raðbet, ilgi;m.;eñtere;1149
4473;intérieur (-e);internal;dahilî;adj.;eñteriyör;1150
4474;intérieur;interior, inside;iç taraf;m.;eñteriyör;1150
4475;par interim;interim;vekâleten;adv.;par eñterim;1151
4476;intérim;interim;vekâlet;m.;eñterim;1151
4477;intérimaire;interim;vekil;m.f.;eñterimer;1151
4478;intérimaire;temporary;vekâleten yürütülen;adj.;eñterimer;1151
4479;interlocuteur (-trice);interlocutor, interlocutress;muhatap;m.f.;eñterlokütör;-1
4480;intermédiaire;intermediary;elçi, aracý, arabulucu;m.f.;eñtermediyer;-1
4481;interminable;interminable, endless;bitmez tükenmez;adj.;eñterminabl;-1
4482;international (-e);international;uluslar/milletlerarasý, beynelminel;adj.;eñternasyonal;-1
4483;internaute;Internet user;Intenet kullanýcýsý;m.f.;eñternot;-1
4484;interne;internal;iç;adj.;eñtern;-1
4485;Ýnternet;Internet;Internet;m.;eñternet;-1
4486;interpellation;interpellation;gensoru;f.;eñterpelasyoñ;-1
4487;interprétation;interpretation;yorum;f.;eñterpretasyon;1152
4488;interprète;interpreter;tercüman;m.f.;eñterpret;1152
4489;interpréter;tointerpret;yorumlamak;v.;eñterprete;1152
4490;interrogatif (-ve);interrogative;sorgulayýcý;adj.;eñterogatif/-iv;1153
4491;interrogation;questionning, interrogation;sorgulama, soru sorma;f.;eñterogasyoñ;1153
4492;point d'interrogation;question mark;soru iþareti;m.;puañ d'eñterogasyoñ;1153
4493;interrogativement;interrogatively;sorgulayýcý þekilde;adv.;eñterogativmañ;1153
4494;interrogatoire;interrogatory;sorgu, sorgulama;m.;eñterogatuar;1153
4495;interroger;toquestion;sorgulamak;v.;eñteroje;1153
4496;interrompre ;tointerrupt ;yarýda kesmek;v.;eñterompr;-1
4497;interrupteur;switch;þalter;m.;eñterüptör;1154
4498;interruption;interruption;sekte;f.;eñterüpsiyoñ;1154
4499;intersection;intersection;kesiþme;f.;eñterseksiyoñ;-1
4500;intervalle;space;mesafe;m.;eñterval;1155
4501;intervalle;interval;ara (fasýla);m.;eñterval;1155
4502;intervenir;intervene;müdahale etmek;v.;eñtervönir;1156
4503;intervention;intervention;müdahale;f.;eñtervañsiyoñ;1156
4504;non-intervention;non-intervention;karýþmazlýk, müdahale etmeme;f.;noñ-entervansiyoñ;1156
4505;intervertir;toinvert;tersine çevirmek;v.;eñtervötir;-1
4506;interview;interview;görüþme, mülakat;m.;eñterviyuv;1157
4507;interviewer;tointerview;görüþme, mülakat yapmak;v.;eñterviyuve;1157
4508;intestin;intestine;baðýrsak;m.;eñtesteñ;1158
4509;intestin grêle;small intestine;ince baðýrsak;m.;eñtesteñ grel;1158
4510;intime;intimate, familiar;içten, samimi, içli dýþlý, sokulgan;adj.;eñtim;1159
4511;intime (ami/amie);close (friend);sýký fýký dost;m.f.;eñtim;1159
4512;intimité;intimacy;içtenlik, samimiyet;f.;eñtimite;1159
4513;intolérable;intolerable;hoþgörülemez;adj.;eñtolerabl;1160
4514;intolérant (-e);intolerant;hoþgörüsüz;adj.;eñtolerañ/-ant;1160
4515;intolérence;intolerence;hoþgörüsüzlük;f.;eñtolerans;1160
4516;intonation;intonation;tonlama;f.;eñtonasyoñ;-1
4517;intouchable;untouchable;dokunulmaz;adj.;eñtuþabl;-1
4518;intrigue;intrigue;entrika, dalavere;f.;eñtrig;1161
4519;intriguer;tointrigue;entrika yapmak;v.;manövre, eñtrige;1161
4520;introduction;introduction;giriþ;f.;eñtrodüksiyon;1162
4521;introduire;tointroduce;sokmak;v.;eñtrodüir;1162
4522;intuitif (-ve);intuitive;sezgisel;adj.;eñtüitif / -iv;1163
4523;intuition;intuition;sezgi, önsezi;f.;eñtüisyoñ;1163
4524;inutile;unnecessary, needless;gereksiz, lüzumsuz, fuzulî;adj.;inütil;1164
4525;inutilement;in vain;boþuna, nâfile;adv.;inütilmañ;1164
4526;inutilisable;unusable;kullanýlamaz;adj.;inütilizabl;-1
4527;inutilité;inutility;yararsýzlýk;f.;inütilite;1164
4528;invalide;invalid;hükümsüz;adj.;eñvalid;1165
4529;invalide;disabled, crippled;sakat, malûl, gazi;m.f.;eñvalid;1165
4530;invariable;invariable;deðiþmez;adj.;eñvariyabl;-1
4531;inventé (-e);invented;uydurma;adj.;eñvante;1166
4532;inventer;toinvent;icat etmek, uydurmak;v.;eñvañte;1166
4533;inventeur (-trice);inventor;mucit;m.f.;eñvañtör;1166
4534;invention;invention;icat;f.;eñvañsiyoñ;1166
4535;inverse;reverse;ters (taraf);adj.;eñvers;-1
4536;investigation;investigation;araþtýrma;f.;eñvestigasyoñ;-1
4537;investir;to invest;yatýrým yapmak (para, zaman);v.;eñvestir;1167
4538;investissement;investment;yatýrým;m.;eñvestismañ;1167
4539;investisseur;investor;yatýrýmcý;m.;eñvestisör;1167
4540;invincible;invincible;yenilmez;adj.;eñvisibl;-1
4541;invisible;invisible;görünmez;adj.;eñvizibl;-1
4542;invitation;invitation;davet;f.;eñvitasyoñ;1168
4543;invité (-e);guest;konuk, misafir;m.f.;eñvite;1168
4544;inviter;toinvite;davet etmek;v.;eñvite;1168
4545;involontaire;involuntary;gönülsüz;adj.;eñvoloñter;1169
4546;involontairement;involuntarily;gönülsüz olarak;adv.;eñvoloñtermañ;1169
4547;iode;iodine;iyot;f.;iyod;-1
4548;l'Irak, l'Iraq ;Iraq;Irak;m.;irak;1170
4549;Ýrakien (-ne);Iraqi;Iraklý;m.f.;irakiyeñ/irakiyen;1170
4550;l'Ýran ;Iran;Ýran;m.;iran;1171
4551;Ýranien (-ne);an Iranian;Ýranlý;m.f.;iraniyeñ/iraniyen;1171
4552;iris;iris;gözbebeði, iris;m.;iris;-1
4553;Ýrlandais (-e);An Irishman;Ýrlandalý;m.f.;irlande/irlandez;1172
4554;l'Ýrlande ;Ireland;Ýrlanda;f.;irland;1172
4555;ironie;irony;alay;f.;ironi;1173
4556;ironique;ironical;alaycý;adj.;ironik;1173
4557;irréel (-le);unreal;gerçekdýþý;adj.;ireel;-1
4558;irrégularité;irregularity;düzensizlik;f.;iregularite;-1
4559;irrégulier (-ère);irregular;düzensiz, kurala aykýrý;adj.;iregüliye/-yer;1174
4560;irrégulièrement;irregularly;düzensiz bir biçimde;adv.;iregüliyermañ;1174
4561;irreligieux (-euse);irreligious;dinsiz;adj.;irölijiyö / -yöz;1175
4562;irreligion;irreligiousness;dinsizlik;f.;irölijiyoñ;1175
4563;irrémédiable;irremediable;çaresiz, dermansýz;adj.;iremediyabl;1176
4564;irrémédiablement;irremediably;çaresizce;adv.;iremediyablmañ;1176
4565;irremplaçable;irreplaceable;yeri doldurulmaz;adj.;irañplasabl;-1
4566;irréparable;irreparable;onarýlamaz;adj.;ireparabl;-1
4567;irrésistible;irresistible;karþý konulmaz;adj.;irezistibl;-1
4568;irresponsabilité;irresponsability;sorumsuzluk;f.;iresponsabilite;1177
4569;irresponsable;irresponsible;sorumsuz;adj.;iresponsabl;1177
4570;irritation;irritation;kýzma, tahriþ;f.;iritasyoñ;1178
4571;irrité (-e);angry;kýzgýn;adj.;irite;1178
4572;irriter;toirritate;kýzdýrmak;v.;irite;1178
4573;Ýslam;Islam;Ýslam / Ýslamiyet, Müslümanlýk;m.;islam;1179
4574;Ýslandais (-e);An Icelander;Ýzlandalý;m.f.;izlande/-ez;1180
4575;l'Ýslande ;Iceland;Ýzlanda;f.;izland;1180
4576;isolation;insulation;yalýtým;f.;izolasyoñ;1181
4577;isoler;toinsulate;yalýtmak;v.;izole;1181
4578;Ýsraël;Israel;Ýsrail;;israel;1182
4579;Ýsraëlien (-ne);Israeli;Ýsrailli;m.f.;israeliyeñ/-yen;1182
4580;Ýsraëlite;Jew, Jewish;Ýsrailli;m.f.;israelit;1182
4581;être issu de…;tocome from;kaynaklanan (-den…);v.;isü;-1
4582;l'Ýtalie ;Italy;Ýtalya;f.;itali;-1
4583;Ýtalien (-ne);an Italian;Ýtalyan;m.f.;italiyeñ/italiyen;1183
4584;italien;italian;Ýtalyanca;m.;italiyeñ;1183
4585;itinéraire;itinerary;güzergâh;m.;itinerer;-1
4586;ivoire;ivory;fildiþi;m.;ivuar;-1
4587;ivre;drunk;sarhoþ;adj.;ivr;1184
4588;ivresse;drunkenness;sarhoþluk;f.;ivres;1184
4589;jacinthe;hyacinth;sümbül;f.;jasent;-1
4590;jacquet;backgammon;tavla;m.;jake;-1
4591;jadis;long ago, formerly;vaktiyle;adv.;jadis;-1
4592;jaillir;tospring;fýþkýrmak;v.;jayir;-1
4593;jalouser;tobe jealous;kýskanmak;v.;jaluze;1185
4594;jalousie;jealousy;kýskançlýk;f.;jaluzi;1185
4595;jalousie;shutter, blind;panjur, pencere kafesi, jaluzi;f.;jaluzi;1185
4596;jaloux (jalouse) ;jealous;kýskanç (örn.aþýk);adj.;jalu/jaluz;1185
4597;être jaloux de;tobe jealous;kýskanmak;v.;etr jalu dö;1185
4598;jamais;never;hiçbir zaman, katiyen, asla;adv.;jame;-1
4599;jambe;leg;bacak;f.;jamb;-1
4600;jambon;ham;jambon;m.;jamboñ;-1
4601;janissaire;janissary;yeniçeri;m.;janiser;-1
4602;jante;rim;jant;f.;jant;-1
4603;janvier;january;ocak;m.;janviye;-1
4604;leJapon ;Japan;Japonya;m.;japoñ;1186
4605;Japonais (-e);japonese;Japon;m.f.;japone/japonez;1186
4606;japonais;japonese;Japonca;m.;japone;1186
4607;jardin;garden;bahçe;m.;jardeñ;1187
4608;jardin d'enfants;kindergarten;çocuk bahçesi;m.;jardeñ d'añfañ;1187
4609;jardin potager;vegetable/kitchen garden;sebze bahçesi, bostan;m.;jardeñ potaje;1187
4610;jardin public;park;park;m.;jardeñ püblik;1187
4611;jardinage;gardening;bahçecilik;m.;jardinaj;1187
4612;jardinier (-ère);gardener;bahçevan;m.f.;jardiniye/jardiniyer;1187
4613;jarretière;garter;jartiyer;f.;jartiyer;-1
4614;jaunâtre;yellowish;sarýmtýrak;adj.;jonatr;1188
4615;jaune;yellow;sarý;m.;jon;1188
4616;jaunir;toturn yellow;sarar(t)mak;v.;jonir;1188
4617;jaunisse;jaundice;sarýlýk;f.;jonis;1188
4618;jazz;jazz;caz;m.;caz;-1
4619;je...;I...;ben (özne);pron.;jö;-1
4620;jean;jeans;kot, blucin;m.;jin;-1
4621;Jésuite;Jesuit;Cizvit;m.;jezüit;-1
4622;jeter;tothrow;atmak;v.;jöte;1189
4623;sejeter ;tothrow oneself…;atýlmak;v.;sö jöte;1189
4624;jeter un coup d'œuil;toglance;göz atmak;v.;jöte œñ ku d'öy;1189
4625;jeton;slug;jeton;m.;jötoñ;-1
4626;jeu;game;oyun;m.;jö;1190
4627;jeu de cartes;pack of cards;iskambil;m.;jö dö kart;1190
4628;jeu de fléchettes;game of darts;dart oyunu;m.;jö dö fleþet;1190
4629;jeu de hasard;gamble;kumar;m.;jö dö azar;1190
4630;jeu de quilles;bowling;bovling;m.;jö dö kiy;1190
4631;jeudi;Thursday;perþembe;m.;jödi;-1
4632;jeune;young;genç;adj.;jön;1191
4633;jeûne;fast;oruç;m.;jön;1191
4634;jeune fille;young girl;genç kýz;f.;jön fiy;1191
4635;nom de jeune fille;maiden name;kýzlýk soyadý;m.;noñ dö jön fiy;1191
4636;jeune homme;young man;delikanlý;m.;jön om;1191
4637;jeune plante;seedling;fidan;f.;jön plant;1191
4638;jeunesse;youth;gençlik;f.;jönes;1191
4639;joaillerie;jeweler;kuyumcu dükkaný;f.;joayöri;1192
4640;joaillier;jewellery;mücevher;m.;joayie;1192
4641;joie;joy;neþe, sevinç;f.;jua;-1
4642;joindre;tojoin, to connect;birleþtirmek, bitiþtirmek;v.;juandr;635
4643;sejoindre ;tojoin, to connect;birleþmek, bitiþmek, baðlanmak;v.;sö juandr;635
4644;joint (-e);joint;ek ;adj.;juañ / juant;635
4645;joint;washer;conta;m.;juañ ;635
4646;jointure;joint;eklem, mafsal;f.;juañtür;635
4647;joli (-e);nice, pretty, beautiful;hoþ, güzel;adj.;joli;-1
4648;jonc;reed, rush;saz (bitki);m.;joñ;-1
4649;jonchaie;reedy;sazlýk;f.;joñþe;-1
4650;jongleur;juggler;hokkabaz;m.;jonglör;-1
4651;Jordanie;Jordan;Ürdün;f.;jordani;1193
4652;Jordanien (-ne);Jordanian;Ürdünlü;m.f.;jordaniyeñ/-yen;1193
4653;joue;cheek;yanak;f.;ju;-1
4654;jouer;toplay;oynamak;v.;jue;1194
4655;jouer de l'argent;togamble;kumar oynamak;v.;jue dö l'arjañ;1194
4656;jouet;toy;oyuncak;m.;jue;1194
4657;joueur;gambler;kumarbaz;m.;juör;1194
4658;joueur (-euse);player;oyuncu;m.f.;juör/-öz;1194
4659;jour;day;gün;m.;jur;1195
4660;jour de la résurrection;resurrection day;mahþer günü;m.;jour de la rezüreksiyoñ;1195
4661;jour férié;legal holiday;resmî tatil;m.;jur feriye;1195
4662;jour ouvrable;working day;iþ günü;m.;jur uvrabl;1195
4663;de nos jours;nowadays;günümüzde;exp.;dö no jur;1195
4664;journal;newspaper;gazete;m.;jurnâl;1196
4665;journal;diary;günce, günlük;m.;jurnal;1196
4666;journal télévisé;news broadcast;haberler (TV);m.;jurnal televize;1196
4667;journaliste;journalist;gazeteci;m.f.;jurnalist;1196
4668;journée;day;gündüz;f.;jurne;1195
4669;toute la journée;all day long;günübirlik;exp.;tut la jurne;1195
4670;joyeusement;joyfully, cheerfully;neþeli bir biçimde;adv.;juayözmañ;1197
4671;joyeux (-euse);joyful, cheerful;neþeli;adj.;juayö/juayöz;1197
4672;jubé;jube;mimber;m.;jübe;-1
4673;judiciaire;judicial, legal;tüzel, adlî;adj.;jüdisiyer;1198
4674;judiciaire (pouvoir );judicial power;yargý gücü;m.;puvuar jüdisiyer;1198
4675;juge;judge;yargýç;m.;jüj;1199
4676;être jugé;tobe guessed;yargýlanmak;v.;etr jüje;1199
4677;jugement;judgment;yargýlama, yargý;m.;jüjmañ;1199
4678;juger;tojudg;yargýlamak;v.;jüje;1199
4679;Juif (-ve);Jew, Jewess, Jewich;Yahudi, Musevî;m.f.;jüif/jüiv;-1
4680;juillet;july;temmuz;m.;jüye;-1
4681;juin;june;haziran;m.;jüeñ;-1
4682;jumeau (jumelle);twin;ikiz;m.f.;jümo/jümel;1200
4683;jumeaux;twins;ikiz(ler);m.;jümo;1200
4684;jumelles;binoculars;dürbün;f.;jumel;1200
4685;jument;mare;kýsrak;f.;jümañ;-1
4686;jupe;skirt;etek;f.;jüp;1201
4687;jupon;underskirt;jüpon;m.;jüpoñ;1201
4688;jurer;toswear;yemin etmek, sövmek;v.;jüre;-1
4689;juridique;juridical;hukuksal, hukukî;adj.;jüridik;1203
4690;juridique;lawful;yasal;adj.;jüridik;1203
4691;juriste;lawyer;hukukçu;m.;jürist;1203
4692;jury;jury;yargýçlar kurulu, jüri;m.;jüri;1203
4693;jus de fruit;fruit juice;meyve suyu;m.;jü dö früi;1204
4694;jus d'orange;orange juice;portakal suyu;m.;jü d'oranj;1204
4695;jusqu'à;until; -e kadar;prép.;jüska;-1
4696;juste;right, true;DOÐRU;adj.;jüst;1205
4697;juste;just;henüz;adv.;jüst;1205
4698;juste;just;sadece, yalnýz;adv.;jüst;1205
4699;juste;just;tam da;adj.;jüst;1205
4700;juste;right, righteous;adil;adj.;jüst;1205
4701;justement;rightly;haklý olarak;adv.;jüstmañ;1205
4702;justement;precisely;tam olarak;adv.;jüstmañ;1205
4703;justesse;correctness;doðruluk (adalet);f.;jüstes;1205
4704;justice;justice;adalet;f.;jüstis;1205
4705;justifiable;justifiable;açýklanabilir;adj.;jüstifiyabl;1205
